Gyroscope units in bits, since it’s ±250deg/s with a 16bit ADC the units are 65556/500 giving ~131bit per deg/s, i.e. 1deg/s=131bit
Sampling frequency = 200 hz
x_axis y-axis  z-axis
4	92	-6
-10	64	-15
11	92	2
-11	61	-6
1	65	-22
8	67	-2
0	67	-7
27	72	-5
-4	84	-10
13	81	6
-10	82	-14
2	58	-12
18	82	-16
0	56	-14
16	65	8
8	97	-29
9	80	-2
4	91	-6
-3	77	-3
13	80	-22
-11	89	-5
0	75	-9
3	77	-9
12	86	-18
14	98	7
-5	90	-5
-1	75	19
1	93	-18
0	66	5
6	79	-7
-4	84	6
1	75	-17
1	74	-18
11	84	-16
8	92	-8
16	66	-7
-15	84	-13
18	69	7
0	72	-14
0	88	-7
-4	85	-6
4	82	-4
-10	87	-17
6	60	12
-17	80	12
-11	69	-20
-5	74	-2
8	70	-15
13	83	4
7	70	-10
13	101	0
3	75	-15
11	100	-5
8	74	6
11	81	-11
5	98	-22
7	65	-18
14	105	-5
3	85	-18
-2	64	-11
-8	82	8
-7	86	-15
15	58	-14
-4	107	-26
-3	79	-14
10	77	-6
-1	91	-3
10	68	-13
1	82	-9
5	73	-4
3	84	-8
11	81	-14
6	71	-15
15	87	11
3	84	-21
-7	84	5
-10	82	1
12	73	-13
10	88	10
7	80	-30
12	78	-9
-9	89	-15
6	76	7
-7	89	-8
5	86	-12
23	58	-18
2	69	3
-1	84	-3
4	62	-7
14	90	-22
9	67	-4
2	73	-11
18	62	-14
3	80	-6
7	83	-2
-15	73	2
-4	90	5
-7	74	-5
4	83	-20
7	72	-6
-4	85	-1
16	106	7
7	85	-18
8	75	-17
-1	66	-17
-17	80	-20
17	82	-8
-2	102	-20
-10	78	3
13	91	-7
-4	62	-3
8	80	5
12	77	1
19	67	-3
0	85	-11
3	101	-20
5	60	-13
-16	85	-3
2	71	-13
5	95	-9
16	72	-6
28	71	-8
-1	69	-8
-8	85	1
14	86	-2
1	85	0
6	70	11
3	70	-9
14	79	3
18	66	-16
-15	72	-14
1	87	19
3	91	-9
1	74	2
10	80	0
8	94	-7
18	80	-10
-4	80	-11
0	78	-32
-13	82	-2
7	59	-3
0	95	-11
-4	67	-27
14	84	-1
0	76	-10
10	91	-7
7	87	-11
26	74	4
-1	86	6
8	74	-15
19	69	-15
-1	80	-10
6	77	-18
-4	103	-13
15	70	5
-6	82	-16
23	79	-18
21	105	-12
12	79	-27
6	74	-20
14	89	-15
1	63	1
3	82	-8
22	64	-5
-7	70	-4
0	77	2
3	84	-16
12	64	0
-12	94	-2
