19	66	-13
18	73	7
-7	69	-16
33	79	-10
0	84	-25
7	72	-25
4	101	-16
11	81	-18
6	84	-12
16	71	-12
19	88	-11
26	79	-17
2	64	-9
11	70	-4
1	72	-13
18	94	4
12	72	-12
22	64	2
2	94	-8
5	69	0
8	64	-13
16	71	-4
11	65	-24
6	79	-13
9	71	6
14	75	10
4	100	0
17	76	-4
11	66	4
15	78	11
18	66	-7
26	81	-5
5	81	-5
9	85	3
10	58	-14
24	81	8
22	89	2
15	56	4
-4	71	-4
5	79	-20
22	72	18
3	74	6
18	81	9
7	78	-1
20	102	7
29	53	8
-7	83	0
29	97	-11
0	79	4
34	80	-18
8	79	0
11	78	-16
22	70	-22
18	80	-18
11	76	-10
18	91	-10
15	77	0
24	61	4
14	91	-1
34	74	-14
0	58	-6
6	76	2
3	68	-8
14	78	-12
10	70	-17
10	66	-3
26	87	-13
9	78	-3
8	80	-18
22	77	-4
-4	75	-3
27	90	-24
1	63	7
13	83	-8
20	87	-14
23	76	-8
5	65	-8
36	73	-15
26	83	-3
20	76	-2
24	45	2
21	93	-21
23	91	-5
5	80	-13
9	79	8
37	67	0
0	85	-22
19	69	9
16	71	-5
17	71	7
11	53	20
21	71	-8
27	93	-2
34	85	-27
18	82	-4
8	75	-9
11	92	-15
-1	68	-5
16	75	-13
13	85	1
28	73	-5
-8	89	-7
13	56	12
26	85	-2
27	94	-15
5	90	9
-13	77	-18
20	71	-23
6	80	3
11	76	-4
8	69	10
22	73	3
11	85	4
12	95	-5
22	62	8
22	66	5
13	79	1
26	80	5
15	102	-10
14	92	-9
10	73	2
12	68	-15
15	69	-5
2	77	-9
-7	94	-7
12	81	-17
17	70	19
6	80	-17
24	61	0
29	79	-3
4	67	-7
35	87	-8
23	97	-2
19	68	-20
6	75	9
13	84	-3
27	72	-7
10	70	-31
1	66	4
20	64	-17
16	109	18
4	82	-20
22	64	-6
13	72	-1
10	88	-4
11	83	-5
14	79	18
6	87	-31
10	78	-6
18	61	-11
15	68	2
6	83	-2
37	70	-19
9	67	-3
30	73	9
10	72	-25
20	81	-6
13	82	-7
13	97	-1
19	72	-1
26	69	-14
3	71	4
-13	61	-18
15	77	-3
-1	80	-5
17	73	-18
29	79	8
16	55	-17
7	106	-21
6	74	-11
15	78	-5
1	69	-18
25	70	-12
-3	73	-5
22	82	-1
20	67	-3
23	91	10
10	63	4
16	68	2
24	91	-8
13	73	-8
29	78	-15
22	69	-15
16	63	-5
13	77	-4
27	79	-19
-5	94	-21
10	75	-7
-3	84	2
10	75	4
10	64	0
20	73	-15
6	74	-13
30	76	5
33	93	-10
17	69	-8
6	73	-1
2	84	7
27	77	-11
1	71	-3
12	83	-1
16	62	-21
14	81	-4
16	88	15
13	91	-13
11	91	1
9	63	-16
19	99	-3
8	87	-8
20	86	-12
15	58	12
23	88	2
26	66	-11
15	86	19
17	57	1
21	69	-7
6	75	-27
8	91	2
15	66	-14
12	98	-9
-2	71	-17
27	70	-7
11	78	-6
15	79	-5
26	84	3
30	79	-4
5	67	-20
20	77	-3
8	56	-7
35	79	0
5	83	-8
41	96	-9
0	62	-1
11	87	-6
22	86	-13
9	58	11
10	71	-1
17	78	10
17	73	-17
15	62	-2
10	76	-7
10	77	-9
0	94	-6
37	74	-5
39	73	-4
16	77	2
16	71	4
10	76	-17
20	70	18
5	65	-19
6	69	18
17	81	9
13	54	-21
8	101	1
16	44	-9
10	77	6
18	97	-6
2	63	-3
2	89	-2
18	65	14
30	83	-11
22	70	2
18	68	12
16	104	1
-4	59	-16
23	96	10
13	73	-24
2	73	9
31	80	-14
18	64	14
11	63	-16
15	75	10
21	66	-28
8	73	1
8	80	-16
11	61	-31
29	81	-4
7	69	-6
16	74	-1
16	69	-22
20	73	16
10	76	-4
4	82	13
