-284,		360,		19876,		30,		78,		1
-240,		388,		19824,		12,		94,		-2
-280,		460,		19732,		24,		54,		-11
-252,		488,		19708,		25,		73,		-9
-168,		416,		19584,		16,		72,		6
-168,		464,		19792,		9,		96,		-16
-280,		436,		19772,		21,		76,		4
-208,		472,		19848,		43,		79,		1
-208,		476,		19736,		25,		67,		-13
-300,		428,		19848,		-8,		59,		3
-236,		444,		19880,		1,		73,		-8
-280,		352,		19820,		16,		77,		-3
-132,		416,		19852,		11,		73,		-10
-236,		372,		19640,		18,		84,		-8
-200,		400,		19740,		9,		73,		8
-284,		372,		19744,		15,		64,		-17
-196,		380,		19892,		11,		80,		-8
-160,		384,		19780,		30,		60,		-6
-220,		408,		19796,		21,		75,		-17
-244,		372,		19772,		14,		64,		-9
-228,		436,		19812,		19,		80,		-11
-284,		488,		19884,		17,		64,		-11
-288,		428,		19740,		12,		81,		-13
-204,		416,		19872,		4,		59,		-3
-380,		344,		19772,		31,		71,		-5
-204,		428,		19840,		10,		69,		-8
-208,		396,		19760,		22,		71,		-11
-168,		396,		19804,		16,		61,		-21
-312,		472,		19712,		23,		59,		-12
-164,		396,		19784,		29,		59,		-1
-304,		464,		19752,		16,		67,		-6
-208,		436,		19796,		29,		55,		-7
-268,		416,		19724,		10,		87,		-8
-192,		504,		19724,		9,		78,		-2
-304,		472,		19836,		17,		56,		1
-236,		440,		19792,		12,		60,		-7
-228,		544,		19680,		17,		78,		0
-220,		444,		19872,		11,		70,		-13
-320,		440,		19844,		16,		47,		-7
-284,		512,		19824,		20,		71,		2
-236,		468,		19876,		20,		66,		4
-228,		480,		19744,		19,		74,		7
-360,		388,		19784,		9,		62,		-4
-204,		456,		19732,		14,		59,		-9
-340,		408,		19816,		24,		78,		-19
-260,		368,		19728,		7,		59,		-11
-272,		392,		19904,		16,		85,		-4
-268,		424,		19888,		13,		61,		4
-184,		332,		19944,		27,		75,		9
-288,		488,		19900,		11,		65,		-21
-224,		348,		19752,		8,		59,		-14
-256,		428,		19832,		13,		64,		-2
-184,		472,		19808,		12,		58,		-1
-244,		476,		19720,		20,		88,		-9
-304,		428,		19768,		20,		64,		-22
-272,		500,		19964,		14,		80,		3
-244,		408,		19812,		22,		60,		-15
-308,		456,		19788,		18,		84,		8
-120,		464,		19956,		11,		50,		2
-196,		496,		19812,		37,		60,		10
