-296,		480,		19732,		-19,		78,		-11
-140,		476,		19972,		-21,		78,		7
-224,		316,		19776,		6,		89,		14
-352,		376,		19644,		-3,		72,		-12
-264,		364,		19636,		-4,		80,		23
-292,		344,		19912,		-8,		64,		4
-168,		468,		19824,		-12,		76,		22
-196,		392,		19708,		11,		64,		15
-312,		548,		19848,		11,		65,		22
-128,		332,		19752,		-1,		60,		-4
-280,		356,		19752,		-8,		79,		28
-212,		444,		19776,		-5,		70,		-8
-256,		352,		19668,		-2,		62,		20
-132,		496,		19804,		-2,		64,		-6
-292,		368,		19748,		-3,		72,		1
-228,		392,		19868,		9,		60,		5
-332,		396,		19860,		12,		70,		-1
-228,		400,		19764,		-22,		84,		29
-272,		324,		19816,		-10,		64,		27
-292,		400,		19788,		-33,		71,		27
-172,		420,		19876,		3,		74,		-12
-176,		360,		19732,		-15,		82,		6
-288,		448,		19780,		-14,		64,		15
-232,		348,		19660,		-1,		77,		5
-260,		380,		19724,		-10,		66,		18
-220,		344,		19812,		-4,		74,		6
-212,		444,		19608,		13,		81,		14
-356,		352,		19756,		4,		83,		15
-256,		404,		19760,		-3,		68,		22
-212,		408,		19836,		-7,		73,		-23
-164,		368,		19668,		-10,		63,		22
-308,		424,		19832,		10,		99,		11
-236,		412,		19800,		11,		83,		27
-228,		448,		19728,		-8,		77,		-4
-188,		484,		19828,		-10,		75,		4
-244,		380,		19636,		-1,		84,		-3
-256,		404,		19772,		-3,		107,		3
-336,		364,		19764,		2,		72,		20
-204,		440,		19732,		-19,		79,		-7
-172,		264,		19868,		-6,		73,		-7
-216,		400,		19776,		-24,		56,		-3
-244,		404,		19868,		9,		62,		0
-188,		420,		19764,		-11,		68,		5
-240,		428,		19744,		-3,		80,		-4
-112,		496,		19840,		-7,		93,		-6
-188,		416,		19744,		-12,		65,		17
-212,		400,		19752,		-12,		78,		29
-188,		368,		19888,		-14,		86,		8
-220,		396,		19840,		-8,		84,		-4
-272,		452,		19848,		-27,		76,		2
-168,		344,		19856,		-3,		64,		26
-204,		404,		19732,		-15,		73,		2
-256,		432,		19760,		-3,		62,		11
-232,		420,		19912,		-17,		92,		20
-224,		428,		19748,		19,		71,		36
-284,		408,		19808,		-7,		79,		-2
-172,		420,		19804,		-16,		76,		25
-236,		404,		19788,		-16,		70,		-3
-332,		304,		19816,		20,		66,		-6
-212,		496,		19776,		-5,		53,		9
-344,		396,		19760,		3,		84,		-9
-208,		360,		19704,		-10,		63,		22
-272,		452,		19772,		11,		94,		14
-308,		444,		19872,		13,		84,		-5
-224,		408,		19868,		-20,		89,		6
-252,		428,		19912,		4,		75,		20
-284,		384,		19808,		-6,		85,		-9
-268,		456,		19816,		15,		73,		13
-320,		360,		19748,		11,		64,		0
-164,		388,		19776,		17,		72,		0
-252,		436,		19744,		20,		69,		-2
-216,		420,		19712,		-12,		92,		18
-156,		368,		19760,		-20,		100,		13
-276,		352,		19936,		-19,		62,		8
-204,		384,		19824,		5,		88,		-13
-256,		436,		19844,		7,		83,		25
-180,		320,		19624,		-1,		92,		-21
-248,		384,		19748,		3,		113,		1
-188,		480,		19680,		7,		100,		-2
-224,		488,		19744,		-4,		49,		-11
-320,		440,		19896,		14,		80,		-9
