-1,		59,		-22
-5,		62,		1
9,		75,		-10
5,		66,		0
9,		79,		-5
8,		87,		6
-15,		71,		16
-2,		78,		-11
-4,		87,		5
-10,		66,		-7
-8,		85,		3
-10,		65,		-10
-2,		91,		-2
-15,		61,		-3
-7,		69,		7
11,		82,		5
2,		54,		-31
6,		89,		-2
4,		76,		2
2,		84,		14
-12,		76,		-4
5,		83,		-12
14,		71,		-14
-11,		71,		-6
4,		79,		-9
-5,		74,		-10
-10,		92,		-4
7,		73,		4
10,		73,		-2
7,		76,		-2
5,		66,		-8
-25,		68,		-10
4,		84,		0
14,		78,		7
-16,		78,		-19
11,		72,		8
-4,		58,		-21
-3,		79,		-5
-2,		84,		-14
-10,		69,		-8
-11,		93,		16
10,		74,		-15
3,		84,		-26
-4,		74,		3
16,		85,		-21
-3,		64,		-1
4,		69,		-5
-9,		78,		-11
-12,		72,		-16
1,		76,		-29
-9,		87,		-5
5,		76,		-21
3,		77,		-2
-9,		70,		-7
1,		86,		3
16,		83,		5
-15,		87,		-29
-3,		61,		-7
-4,		88,		-15
0,		76,		-13
11,		86,		-4
-16,		78,		4
-3,		75,		10
7,		93,		-20
-1,		91,		-12
8,		100,		-4
-3,		86,		-13
-4,		102,		16
22,		71,		13
0,		77,		-4
6,		83,		-22
-9,		61,		-14
4,		70,		-26
6,		84,		-9
-1,		63,		-7
-6,		65,		-30
18,		75,		-12
1,		90,		-12
5,		69,		-17
-1,		71,		-23
6,		82,		10
0,		64,		-10
4,		97,		-7
5,		84,		-21
7,		59,		4
-7,		80,		-3
6,		71,		3
0,		71,		-9
10,		84,		-2
10,		85,		11
-2,		86,		-2
-3,		88,		5
7,		71,		-9
3,		69,		3
13,		62,		7
-7,		65,		-1
3,		58,		-2
-5,		60,		-11
-1,		81,		-13
8,		64,		-2
5,		75,		-21
12,		87,		4
4,		67,		-3
-14,		98,		-19
6,		84,		-7
8,		68,		-13
24,		66,		-3
3,		103,		-1
7,		80,		-5
8,		85,		-25
9,		80,		-12
0,		98,		-19
11,		66,		3
14,		65,		-22
4,		90,		0
