-268,	732,	19632,	3,	71,	-7
-128,	740,	19656,	-11,	69,	-25
-514,	-258,	-258,	-258,	-258,	-258
-472,	724,	19496,	-32,	86,	-6
-328,	664,	19672,	-24,	78,	-23
-152,	652,	19672,	-17,	61,	-10
-344,	732,	19572,	-12,	72,	-7
-232,	780,	19692,	-16,	89,	-30
-288,	668,	19796,	4,	89,	-23
-316,	780,	19660,	-14,	41,	-14
-436,	700,	19700,	-12,	87,	-10
-144,	648,	19644,	-15,	72,	-17
-204,	736,	19684,	-4,	75,	-22
-444,	636,	19552,	-7,	80,	-32
-496,	824,	19776,	-5,	41,	-32
-344,	780,	19624,	-13,	78,	-41
-296,	656,	19720,	-15,	64,	-27
-304,	804,	19644,	-21,	77,	-29
-344,	688,	19628,	-31,	95,	-4
-328,	720,	19620,	-4,	63,	-8
-348,	708,	19412,	5,	74,	1
-280,	788,	19724,	-8,	75,	-25
-248,	704,	19584,	-7,	71,	-10
-464,	704,	19680,	5,	90,	-17
-192,	640,	19624,	-10,	82,	-44
-240,	756,	19760,	-2,	62,	-26
-248,	676,	19620,	0,	78,	-23
-356,	640,	19616,	-11,	56,	4
-320,	680,	19596,	-10,	61,	-6
-288,	776,	19612,	-19,	88,	-39
-272,	784,	19616,	-3,	81,	-2
-388,	720,	19764,	-13,	68,	-10
-364,	784,	19560,	1,	83,	-12
-352,	820,	19516,	-12,	87,	-15
-476,	652,	19528,	-10,	68,	-31
-440,	800,	19684,	-17,	86,	-29
-384,	708,	19756,	-28,	91,	-4
-332,	752,	19640,	2,	60,	1
-448,	716,	19536,	1,	77,	-57
-412,	748,	19612,	9,	61,	-22
-352,	712,	19708,	-8,	77,	-5
-344,	580,	19708,	-9,	60,	-26
-276,	724,	19704,	-14,	70,	-18
-396,	916,	19620,	-11,	78,	-9
-328,	672,	19572,	-27,	84,	-12
-312,	716,	19612,	-9,	86,	-26
-276,	700,	19696,	-2,	82,	-8
-432,	752,	19744,	-2,	77,	-31
-284,	728,	19760,	-24,	51,	0
-328,	776,	19544,	-9,	92,	-22
-320,	736,	19564,	-1,	84,	-19
-368,	700,	19588,	-7,	86,	-25
-260,	724,	19652,	-19,	60,	-7
-288,	708,	19664,	-16,	101,	-15
-312,	736,	19620,	-3,	79,	-33
-380,	760,	19640,	-12,	54,	-16
-284,	580,	19776,	-8,	100,	-41
-348,	724,	19604,	-10,	86,	-21
-344,	672,	19792,	1,	87,	-10
-352,	604,	19544,	4,	67,	-19
-316,	772,	19680,	-1,	77,	-31
-216,	748,	19752,	-3,	74,	-8
-304,	680,	19604,	-16,	85,	-17
-416,	736,	19680,	2,	87,	-38
-436,	756,	19604,	5,	83,	-28
-288,	652,	19712,	-15,	74,	-11
-364,	704,	19556,	-10,	68,	-18
-296,	716,	19768,	-1,	67,	-22
-440,	628,	19672,	-9,	85,	-13
-232,	788,	19712,	0,	78,	-16
-392,	876,	19576,	18,	65,	-13
-336,	704,	19544,	-11,	71,	4
-300,	640,	19660,	8,	104,	-36
-256,	724,	19676,	5,	78,	-17
-308,	804,	19648,	-6,	77,	-42
-440,	728,	19640,	-9,	83,	5
-332,	700,	19556,	-19,	72,	-11
-304,	720,	19732,	-11,	75,	-23
-340,	676,	19660,	-28,	65,	-8
-428,	680,	19720,	-28,	59,	-21
-444,	692,	19684,	-29,	89,	-7
-284,	728,	19724,	0,	86,	-39
-408,	684,	19764,	-10,	61,	-21
-356,	740,	19560,	0,	69,	-35
-284,	724,	19700,	-2,	76,	-31
-348,	672,	19528,	-2,	-258,	-258
-380,	684,	19596,	11,	79,	-25
-340,	688,	19612,	-2,	61,	-27
-272,	716,	19580,	-4,	78,	-21
-256,	740,	19684,	-11,	76,	-24
-320,	736,	19716,	-18,	73,	-22
-292,	620,	19560,	-6,	80,	-22
-400,	744,	19688,	-7,	77,	-30
-508,	804,	19672,	-2,	84,	-9
-268,	656,	19716,	-1,	92,	8
-316,	788,	19520,	-1,	77,	-17
-252,	712,	19564,	-16,	70,	-3
-248,	648,	19700,	-16,	74,	-23
-368,	804,	19464,	-11,	87,	-26
-252,	680,	19704,	-11,	66,	-17
-340,	672,	19520,	-23,	76,	-20
-368,	704,	19684,	-6,	54,	-22
-368,	692,	19644,	-28,	66,	-10
-516,	784,	19588,	-16,	61,	-21
-312,	664,	19552,	-5,	72,	-23
-384,	796,	19596,	2,	67,	-31
-480,	680,	19432,	-9,	85,	-28
-320,	804,	19668,	-18,	69,	-38
-412,	756,	19716,	7,	68,	-13
-348,	756,	19844,	-9,	63,	-24
-244,	856,	19632,	-13,	84,	-17
-400,	700,	19548,	-15,	57,	-24
