99,		-176,		424,		19796,		-2,		79,		-16
99,		-112,		476,		19524,		8,		68,		-15
99,		-112,		448,		19672,		-2,		85,		-14
99,		-164,		468,		19664,		21,		73,		-10
99,		-124,		420,		19556,		9,		103,		4
99,		-152,		356,		19632,		20,		69,		-2
99,		-148,		400,		19664,		14,		77,		5
99,		-52,		316,		19780,		1,		76,		-18
99,		-128,		412,		19516,		-11,		78,		-20
99,		-152,		400,		19652,		19,		83,		6
99,		-116,		416,		19608,		5,		97,		-12
99,		-40,		344,		19600,		0,		86,		-3
99,		-108,		280,		19720,		4,		91,		-16
99,		-24,		400,		19600,		7,		57,		-16
99,		-204,		392,		19576,		27,		75,		1
99,		-128,		412,		19756,		3,		67,		-15
99,		-128,		440,		19564,		5,		65,		-21
99,		-168,		444,		19692,		0,		72,		3
99,		-100,		396,		19600,		6,		83,		-6
99,		-76,		432,		19528,		12,		71,		2
99,		-204,		352,		19712,		30,		66,		-32
99,		-188,		500,		19692,		23,		81,		-15
99,		-112,		344,		19676,		7,		74,		-33
99,		-68,		412,		19588,		7,		64,		-15
99,		-32,		344,		19728,		1,		81,		-25
99,		-156,		376,		19584,		13,		94,		-25
99,		-160,		376,		19600,		10,		67,		-26
99,		-52,		428,		19636,		21,		65,		-8
99,		-148,		500,		19668,		17,		81,		-18
99,		-100,		364,		19732,		12,		72,		-8
99,		-132,		368,		19548,		6,		71,		5
99,		-116,		392,		19608,		4,		73,		-28
99,		-132,		388,		19592,		15,		69,		-12
99,		-184,		396,		19516,		-23,		69,		-15
99,		-168,		380,		19620,		-3,		93,		-17
99,		-152,		368,		19756,		-6,		96,		-4
99,		-148,		368,		19672,		-2,		63,		-11
99,		-136,		400,		19708,		-2,		72,		-23
99,		-100,		416,		19640,		2,		73,		-2
99,		-164,		460,		19660,		15,		72,		-18
99,		-52,		428,		19680,		21,		72,		-8
99,		-152,		404,		19588,		-11,		79,		-4
99,		-196,		308,		19544,		2,		74,		-7
99,		-132,		464,		19728,		21,		81,		-9
99,		-184,		408,		19648,		-3,		75,		-4
99,		-116,		320,		19656,		19,		70,		-1
99,		-92,		528,		19524,		9,		95,		-3
99,		-172,		348,		19644,		0,		89,		3
99,		-4,		416,		19620,		3,		87,		-18
99,		-156,		400,		19564,		-8,		94,		-16
99,		-168,		340,		19744,		11,		86,		3
99,		-272,		400,		19716,		6,		92,		0
99,		-92,		436,		19636,		-3,		88,		3
99,		-72,		360,		19628,		-4,		71,		2
99,		-132,		396,		19640,		9,		79,		-2
99,		-160,		444,		19364,		9,		94,		-12
99,		-176,		392,		19760,		-6,		77,		4
99,		-144,		408,		19676,		5,		72,		-13
99,		-176,		432,		19624,		-3,		77,		-23
99,		-100,		352,		19740,		17,		73,		-19
99,		-40,		504,		19608,		8,		79,		-5
99,		-68,		448,		19668,		4,		87,		-1
99,		-180,		360,		19680,		-3,		85,		-11
99,		-56,		376,		19588,		13,		91,		-14
99,		-136,		372,		19608,		16,		74,		-18
99,		-84,		408,		19744,		13,		85,		-12
99,		-8,		296,		19776,		12,		83,		-4
99,		-136,		472,		19580,		22,		81,		0
99,		-112,		440,		19548,		-4,		73,		-9
99,		-112,		392,		19440,		11,		87,		7
99,		-156,		380,		19648,		-4,		77,		-13
99,		-164,		412,		19732,		11,		97,		-11
99,		-204,		340,		19668,		14,		80,		-9
99,		-124,		476,		19724,		13,		71,		-15
99,		-120,		384,		19540,		8,		90,		-18
99,		-176,		376,		19632,		13,		84,		-16
99,		-116,		436,		19596,		2,		72,		-15
99,		-56,		368,		19668,		4,		86,		-8
